Model,MDO3024
Firmware Version,1.10

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4,,
Horizontal Delay,0,,
Sample Interval,0.0004,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.5,0.5
Vertical Position,0.96,-1,-1.96
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
-2.000000e+01,1.96,0.12,0
-1.999960e+01,1.96,0.12,-0.02
-1.999920e+01,2.04,0.12,0
-1.999880e+01,2,0.1,0
-1.999840e+01,1.96,0.1,0
-1.999800e+01,2.04,0.12,0
-1.999760e+01,2,0.1,0
-1.999720e+01,2,0.1,0.02
-1.999680e+01,2,0.1,0.02
-1.999640e+01,1.96,0.12,0
-1.999600e+01,2.04,0.12,0
-1.999560e+01,2,0.12,0
-1.999520e+01,2,0.12,0
-1.999480e+01,1.92,0.12,0.02
-1.999440e+01,1.96,0.12,0.02
-1.999400e+01,1.96,0.12,0
-1.999360e+01,2,0.12,0
-1.999320e+01,2.04,0.1,0.02
-1.999280e+01,1.96,0.1,0
-1.999240e+01,1.96,0.12,0
-1.999200e+01,2,0.08,0
-1.999160e+01,2,0.12,0
-1.999120e+01,2.04,0.1,0
-1.999080e+01,2,0.12,0
-1.999040e+01,1.96,0.1,0
-1.999000e+01,1.96,0.08,0
-1.998960e+01,2.04,0.12,0
-1.998920e+01,2.04,0.12,0.02
-1.998880e+01,2,0.1,0
-1.998840e+01,1.96,0.08,0
-1.998800e+01,1.96,0.1,0
-1.998760e+01,2,0.08,0
-1.998720e+01,2.04,0.12,0
-1.998680e+01,2,0.1,0
-1.998640e+01,2,0.1,0
-1.998600e+01,2.04,0.12,0
-1.998560e+01,1.92,0.1,-0.02
-1.998520e+01,2,0.12,0
-1.998480e+01,2.04,0.1,0
-1.998440e+01,1.96,0.1,0
-1.998400e+01,2,0.1,-0.02
-1.998360e+01,2,0.12,0
-1.998320e+01,1.96,0.1,-0.02
-1.998280e+01,2.04,0.08,0
-1.998240e+01,1.96,0.12,-0.02
-1.998200e+01,2.08,0.12,0
-1.998160e+01,1.96,0.1,0
-1.998120e+01,1.96,0.1,-0.02
-1.998080e+01,1.96,0.1,0
-1.998040e+01,2,0.1,0
-1.998000e+01,2,0.1,0
-1.997960e+01,2.04,0.08,0
-1.997920e+01,2.04,0.08,-0.02
-1.997880e+01,2,0.1,-0.02
-1.997840e+01,1.96,0.12,-0.02
-1.997800e+01,2,0.1,-0.02
-1.997760e+01,1.96,0.1,0
-1.997720e+01,2,0.1,0
-1.997680e+01,2,0.08,0
-1.997640e+01,2,0.1,0
-1.997600e+01,1.96,0.08,-0.02
-1.997560e+01,2.04,0.1,0
-1.997520e+01,2,0.1,0
-1.997480e+01,2.04,0.1,0
-1.997440e+01,1.96,0.1,-0.02
-1.997400e+01,2,0.1,0
-1.997360e+01,2.04,0.08,0.02
-1.997320e+01,2,0.08,0
-1.997280e+01,1.96,0.1,0
-1.997240e+01,1.96,0.08,-0.04
-1.997200e+01,2,0.1,-0.02
-1.997160e+01,2.04,0.12,-0.02
